CA_min,CA_max,bias
0,20,11.4984965022279
20,25,3.99208268329299
25,30,2.96967862365552
30,35,0.913657361971899
35,40,-0.413933024279014
40,45,-0.984579051526181
45,50,-2.34632892223398
50,55,-1.93928978438699
55,60,-1.21165626161236
60,65,0.37103180541642
65,70,1.55704110917401
70,75,2.88722643024963
75,1000,5.56223694209073
